"","Gene","Gene.name","Tissue","TPM","pTPM","nTPM"
"1","ENSG00000000003","TSPAN6","adipose tissue",21.7,25.5,20.8
"2","ENSG00000000003","TSPAN6","adrenal gland",18.3,22,14.2
"3","ENSG00000000003","TSPAN6","amygdala",4.7,6.4,6.9
"4","ENSG00000000003","TSPAN6","angular gyrus",3.3,4.7,5.6
"5","ENSG00000000003","TSPAN6","angular gyrus (white matter)",3.8,6.1,5.8
"6","ENSG00000000003","TSPAN6","anterior cingulate cortex, supragenual-dorsal",4.7,6.3,6.8
"7","ENSG00000000003","TSPAN6","anterior cingulate cortex, supragenual-ventral",3.1,4.1,6
"8","ENSG00000000003","TSPAN6","anterior cingulate gyrus, pregenual-dorsal",3.1,3.5,5.7
"9","ENSG00000000003","TSPAN6","anterior cingulate gyrus, pregenual-ventral",3.4,3.8,6
"10","ENSG00000000003","TSPAN6","anterior cingulate gyrus, subgenual",4,4.5,6.2
"11","ENSG00000000003","TSPAN6","anterior cochlear nucleus, ventral",4,5.5,6.6
"12","ENSG00000000003","TSPAN6","anterior funiculus (white matter)",7.2,10.6,7.8
"13","ENSG00000000003","TSPAN6","anterior insular cortex, dorsal",4,5.8,6.1
"14","ENSG00000000003","TSPAN6","anterior insular cortex, ventral",3.6,5.3,5.6
"15","ENSG00000000003","TSPAN6","anterior thalamic nucleus, ventral",5.2,7.2,6.6
"16","ENSG00000000003","TSPAN6","appendix",6.4,8.6,4.9
"17","ENSG00000000003","TSPAN6","arcuate nucleus",9.2,13.1,8.1
"18","ENSG00000000003","TSPAN6","area parastriata, inferior",3.3,4.6,5.9
"19","ENSG00000000003","TSPAN6","area parastriata, parietal",4.5,6.5,6.3
"20","ENSG00000000003","TSPAN6","area parastriata, superior",3.4,4.6,6.2
"21","ENSG00000000003","TSPAN6","area parastriata, temporal",3.3,4.6,5.6
"22","ENSG00000000003","TSPAN6","area postrema",6.6,9.2,8.4
"23","ENSG00000000003","TSPAN6","area striata",5.5,8.3,6.7
"24","ENSG00000000003","TSPAN6","area striata (white matter)",3.1,4.1,5.7
"25","ENSG00000000003","TSPAN6","basal amygdala",3.3,4.6,6
"26","ENSG00000000003","TSPAN6","bone marrow",0.4,0.5,0.6
"27","ENSG00000000003","TSPAN6","breast",31.3,37.7,25.9
"28","ENSG00000000003","TSPAN6","caudate nucleus",4.1,5.5,6.4
"29","ENSG00000000003","TSPAN6","central amygdala",4,5.5,6.7
"30","ENSG00000000003","TSPAN6","centromedial thalamic nucleus",5.9,8.5,6.9
"31","ENSG00000000003","TSPAN6","cerebellar cortex",3.2,4.9,5.4
"32","ENSG00000000003","TSPAN6","cerebellar nuclei",7.6,10.6,7.7
"33","ENSG00000000003","TSPAN6","cerebellar white matter",5.4,8,6.9
"34","ENSG00000000003","TSPAN6","cervical spinal cord, central gray",9.7,13.9,9.5
"35","ENSG00000000003","TSPAN6","cervical spinal cord, dorsal horn",5.3,7.6,7
